deal_id,created_date,closed_date,stage,deal_value,region,source
D0001,2025-03-23,2025-04-05,Closed Won,11599,APAC,Inbound
D0002,2025-03-28,2025-04-30,Closed Lost,14527,US,Partner
D0003,2025-02-24,2025-03-07,Closed Won,12836,US,Partner
D0004,2025-01-26,2025-02-27,Closed Lost,16188,APAC,Outbound
D0005,2025-01-29,2025-02-22,Closed Lost,12149,US,Partner
D0006,2025-02-24,2025-03-16,Closed Won,11617,US,Outbound
D0007,2025-01-14,2025-01-26,Closed Won,9909,EU,Inbound
D0008,2025-02-28,2025-03-27,Closed Won,14560,EU,Inbound
D0009,2025-03-12,2025-03-31,Closed Lost,6734,APAC,Inbound
D0010,2025-01-09,2025-01-20,Closed Lost,7146,EU,Inbound
D0011,2025-01-30,2025-03-08,Closed Won,11105,EU,Inbound
D0012,2025-02-17,2025-03-10,Closed Won,17037,EU,Partner
D0013,2025-03-29,2025-04-28,Closed Won,9056,US,Inbound
D0014,2025-03-01,2025-03-23,Closed Won,8662,APAC,Partner
D0015,2025-03-13,2025-03-30,Closed Lost,15430,US,Inbound
D0016,2025-02-10,2025-03-04,Closed Won,6802,US,Partner
D0017,2025-02-10,2025-02-26,Closed Lost,5671,EU,Inbound
D0018,2025-02-03,2025-02-17,Closed Won,16868,APAC,Partner
D0019,2025-02-03,2025-03-08,Closed Lost,14911,US,Inbound
D0020,2025-03-07,2025-04-01,Closed Won,9823,US,Inbound
D0021,2025-01-20,2025-02-19,Closed Won,9948,EU,Outbound
D0022,2025-03-18,2025-04-11,Closed Lost,7605,APAC,Inbound
D0023,2025-03-29,2025-05-01,Closed Won,16496,APAC,Outbound
D0024,2025-01-15,2025-02-03,Closed Won,8024,EU,Inbound
D0025,2025-02-03,2025-03-01,Closed Lost,10294,APAC,Outbound
D0026,2025-03-23,2025-04-18,Closed Lost,11917,US,Outbound
D0027,2025-01-21,2025-02-17,Closed Lost,19122,APAC,Outbound
D0028,2025-03-04,2025-03-14,Closed Won,8224,EU,Outbound
D0029,2025-01-31,2025-02-11,Closed Won,10670,APAC,Outbound
D0030,2025-01-09,2025-02-12,Closed Lost,11401,US,Inbound
D0031,2025-03-26,2025-04-20,Closed Lost,14241,APAC,Outbound
D0032,2025-01-28,2025-03-08,Closed Lost,15797,APAC,Partner
D0033,2025-01-26,2025-02-27,Closed Won,17213,EU,Partner
D0034,2025-02-27,2025-03-12,Closed Won,11841,US,Outbound
D0035,2025-01-03,2025-01-31,Closed Lost,11632,APAC,Partner
D0036,2025-01-08,2025-01-25,Closed Won,11771,US,Outbound
D0037,2025-01-10,2025-02-05,Closed Won,10781,US,Partner
D0038,2025-03-15,2025-04-12,Closed Lost,9817,EU,Outbound
D0039,2025-01-25,2025-02-07,Closed Won,8570,EU,Partner
D0040,2025-01-07,2025-02-07,Closed Lost,13586,APAC,Inbound
